address	length	value
00436b9c	13	?!X0123456789
00436bac	17	WAIT FOR 40 SECS!
00436bd4	15	211111111111111
00436be4	11	grendel.vce
00436bf0	10	female.vce
00436bfc	8	male.vce
00436c3c	6	Rvalue
00436c44	6	Lvalue
00436c4c	14	'dde:' command
00436c5c	8	temp.spr
00436c68	7	%2d:%2d
00436c78	14	'sys:' command
00436c88	14	'app:' command
00436c98	14	'new:' command
00436ca8	14	'bbd:' command
00436cb8	139	A macro script contains a syntax error and will be aborted!\nToken: %c%c%c%c, Type: %s. Owning obj: %2.2d %2.2d %2.2d\nPortion of script: %s\n
00436d44	11	Instruction
00436d50	10	Debug: %d\n
00436d5c	5	Voice
00436e88	7	View - 
00436e90	7	EyePosn
00436e98	6	SFCApp
00436ef0	6	Cheese
00436ef8	6	Darwin
00436f00	10	Privileges
00436f14	6	Burble
00436f1c	8	nilnilly
00436f28	6	Barney
00436f30	5	Sonic
00436f40	15	UninstallString
00436f50	70	SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\CreaturesDeinstKey
00436f98	11	\\Remove.exe
00436fa4	10	Body data\\
00436fb0	9	Genetics\\
00436fbc	7	Images\\
00436fc4	9	Palettes\\
00436fd0	7	Macros\\
00436fd8	7	Sounds\\
00436fe0	8	Programs
00436fec	9	Body Data
00436ff8	18	Genetics Directory
0043700c	15	Image Directory
0043701c	17	Palette Directory
00437030	15	Macro Directory
00437040	15	Sound Directory
00437050	6	CBrain
00437070	21	%d|%d|%d|%d|%d|%d|%d|
00437088	7	MapData
004371f0	15	.?AVtype_info@@
0043c11e	10	WinGBitBlt
0043c12c	22	WinGRecommendDIBFormat
0043c146	12	WinGCreateDC
0043c156	16	WinGCreateBitmap
0043c16a	20	WinGSetDIBColorTable
0043c180	10	WING32.dll
0043c18e	17	DirectSoundCreate
0043c1a0	10	DSOUND.dll
0043c1ac	9	MFC40.DLL
0043c1b8	17	__CxxFrameHandler
0043c1cc	4	rand
0043c1d4	6	fclose
0043c1de	5	fgetc
0043c1e6	5	fseek
0043c1ee	5	fopen
0043c1f6	5	srand
0043c1fe	4	time
0043c206	7	_mbscmp
0043c210	6	strchr
0043c21a	7	sprintf
0043c224	20	??_Difstream@@QAEXXZ
0043c23c	25	??5istream@@QAEAAV0@AAH@Z
0043c258	24	??0ifstream@@QAE@PBDHH@Z
0043c274	22	?openprot@filebuf@@2HB
0043c28e	7	strncpy
0043c298	5	ctime
0043c2a0	6	_fstat
0043c2aa	5	ftell
0043c2b2	5	fgets
0043c2ba	9	_purecall
0043c2c6	6	strstr
0043c2ce	12	MSVCRT40.dll
0043c2de	11	__dllonexit
0043c2ec	7	_onexit
0043c2f6	16	_except_handler3
0043c30a	17	?terminate@@YAXXZ
0043c31e	20	??1type_info@@UAE@XZ
0043c336	5	_exit
0043c33e	11	_XcptFilter
0043c34c	4	exit
0043c354	11	__p__acmdln
0043c362	9	_initterm
0043c36e	13	__getmainargs
0043c37e	16	__setusermatherr
0043c392	12	_adjust_fdiv
0043c3a2	12	__p__commode
0043c3b2	10	__p__fmode
0043c3c0	14	__set_app_type
0043c3d2	10	_controlfp
0043c3e0	9	FindClose
0043c3ec	13	FindNextFileA
0043c3fc	14	FindFirstFileA
0043c40e	9	CopyFileA
0043c41a	8	lstrcpyA
0043c426	5	Sleep
0043c42e	10	GetVersion
0043c43c	16	GetModuleHandleA
0043c450	15	GetStartupInfoA
0043c460	12	KERNEL32.dll
0043c470	13	IntersectRect
0043c480	11	LoadCursorA
0043c48e	9	LoadIconA
0043c49a	9	SetCursor
0043c4a6	14	InvalidateRect
0043c4b8	13	GetWindowRect
0043c4c8	12	EnableWindow
0043c4d8	12	SetRectEmpty
0043c4e8	9	ReleaseDC
0043c4f4	5	GetDC
0043c4fc	7	SetRect
0043c506	8	PtInRect
0043c512	9	wsprintfA
0043c51e	9	EqualRect
0043c52a	8	CopyRect
0043c536	10	GetSubMenu
0043c544	14	GetMenuStringA
0043c556	16	GetMenuItemCount
0043c56a	7	GetMenu
