address	length	value
005dc3a2	0	
005dc3a4	0	
005dc3a6	0	
005dc3a8	0	
005dc3aa	0	
005dc3ac	0	
005dc3ae	0	
005dc3b0	0	
005dc3b2	0	
005dc3b4	0	
005dc3b6	0	
005dc3b8	0	
005dc3ba	0	
005dc3bc	0	
005dc3c0	22	Change the window size
005dc3ee	26	Change the window position
005dc424	28	Reduce the window to an icon
005dc45e	31	Enlarge the window to full size
005dc49e	34	Switch to the next document window
005dc4e4	38	Switch to the previous document window
005dc532	57	Close the active window and prompts to save the documents
005dc5a6	0	
005dc5a8	0	
005dc5aa	0	
005dc5ac	0	
005dc5ae	0	
005dc5b0	0	
005dc5b2	0	
005dc5b4	0	
005dc5b6	0	
005dc5b8	0	
005dc5ba	0	
005dc5bc	33	Restore the window to normal size
005dc600	18	Activate Task List
005dc626	33	Egg Disk has been write protected
005dc66a	22	You have no more eggs!
005dc698	41	The egg could not be moved from the disk!
005dc6ec	0	
005dc6ee	0	
005dc6f0	0	
005dc6f2	0	
005dc6f4	0	
005dc6f6	0	
005dc6f8	0	
005dc6fa	0	
005dc6fc	0	
